"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"96","B","E2","Left","P16","S",46746,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.610343865253687,-0.606609763984747,-0.614077966522627,-0.481718419006238,-0.552448442842206,-0.410988395170271
"97","B","E2","Left","P17","S",50162,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,-0.378615939242259,-0.269065705265909,-0.488166173218609,-0.288526451142554,-0.257106327894617,-0.319946574390492
"98","B","E2","Left","P18","LS",52368,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,-0.620100710594279,-0.502434977860316,-0.737766443328243,-0.876603043224693,-0.483878762216272,-1.26932732423311
"99","B","E2","Left","P19","LS",55482,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,-0.123480220016048,-0.101562656672265,-0.145397783359831,-0.201080917100032,-0.21010669429471,-0.192055139905353
"100","B","E2","Left","P20","S",59329,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,-0.486680439972878,-0.547408477101057,-0.425952402844699,-0.725621654563424,-0.455830372611879,-0.99541293651497
"101","B","E2","Left","P21","LS",61591,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,-0.11456385109116,-0.129143041662243,-0.0999846605200781,-0.166675608743256,-0.0944860427364907,-0.238865174750022
"102","B","E2","Left","P22","LS",64832,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,-0.530686482461739,-0.399238277524678,-0.6621346873988,-0.575186286819111,-0.423245196321651,-0.727127377316571
"103","B","E2","Left","P23","LS",67703,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,-0.60372652061087,-0.533140385301912,-0.674312655919829,-0.390682165825049,-0.249246742463829,-0.532117589186269
"104","B","E2","Left","P24","S",71184,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.693253900139592,-0.861860139185509,-0.524647661093675,-0.745591522462525,-0.738687617233074,-0.752495427691975
"105","B","E2","Left","P25","LS",74055,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.338534212491879,-0.366707087064478,-0.31036133791928,-0.512996664088725,-0.67063449913998,-0.35535882903747
"106","B","E2","Left","P26","LS",76927,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.431449238033802,-0.394414964634704,-0.468483511432899,-0.540008747886437,-0.507396087287365,-0.572621408485508
